trip_id,arrival_time,departure_time,stop_id,stop_sequence,stop_headsign,pickup_type,drop_off_type,continuous_pickup,continuous_drop_off,shape_dist_traveled,timepoint
car1_Fri-Sat_Extension_toM_260000,26:00:00,26:00:30,1,1,Manhattan,0,0,,,0,1
car1_Fri-Sat_Extension_toM_260000,26:07:30,26:08:00,2,2,,0,0,,,0.956,1
car1_Fri-Sat_Extension_toM_261500,26:15:00,26:15:30,1,1,Manhattan,0,0,,,0,1
car1_Fri-Sat_Extension_toM_261500,26:22:30,26:23:00,2,2,,0,0,,,0.956,1
car1_Fri-Sat_Extension_toM_263000,26:30:00,26:30:30,1,1,Manhattan,0,0,,,0,1
car1_Fri-Sat_Extension_toM_263000,26:37:30,26:38:00,2,2,,0,0,,,0.956,1
car1_Fri-Sat_Extension_toM_264500,26:45:00,26:45:30,1,1,Manhattan,0,0,,,0,1
car1_Fri-Sat_Extension_toM_264500,26:52:30,26:53:00,2,2,,0,0,,,0.956,1
car1_Fri-Sat_Extension_toM_270000,27:00:00,27:00:30,1,1,Manhattan,0,0,,,0,1
car1_Fri-Sat_Extension_toM_270000,27:07:30,27:08:00,2,2,,0,0,,,0.956,1
car1_Fri-Sat_Extension_toM_271500,27:15:00,27:15:30,1,1,Manhattan,0,0,,,0,1
car1_Fri-Sat_Extension_toM_271500,27:22:30,27:23:00,2,2,,0,0,,,0.956,1
car1_Fri-Sat_Extension_toRI_260730,26:07:30,26:08:00,2,1,Roosevelt Island,0,0,,,0,1
car1_Fri-Sat_Extension_toRI_260730,26:15:00,26:15:30,1,2,,0,0,,,0.956,1
car1_Fri-Sat_Extension_toRI_262230,26:22:30,26:23:00,2,1,Roosevelt Island,0,0,,,0,1
car1_Fri-Sat_Extension_toRI_262230,26:30:00,26:30:30,1,2,,0,0,,,0.956,1
car1_Fri-Sat_Extension_toRI_263730,26:37:30,26:38:00,2,1,Roosevelt Island,0,0,,,0,1
car1_Fri-Sat_Extension_toRI_263730,26:45:00,26:45:30,1,2,,0,0,,,0.956,1
car1_Fri-Sat_Extension_toRI_265230,26:52:30,26:53:00,2,1,Roosevelt Island,0,0,,,0,1
car1_Fri-Sat_Extension_toRI_265230,27:00:00,27:00:30,1,2,,0,0,,,0.956,1
car1_Fri-Sat_Extension_toRI_270730,27:07:30,27:08:00,2,1,Roosevelt Island,0,0,,,0,1
car1_Fri-Sat_Extension_toRI_270730,27:15:00,27:15:30,1,2,,0,0,,,0.956,1
car1_Fri-Sat_Extension_toRI_272230,27:22:30,27:23:00,2,1,Roosevelt Island,0,0,,,0,1
car1_Fri-Sat_Extension_toRI_272230,27:30:00,27:30:30,1,2,,0,0,,,0.956,1
car1_Standard_toM_060000,06:00:00,06:00:30,1,1,Manhattan,0,0,,,0,1
car1_Standard_toM_060000,06:07:30,06:08:00,2,2,,0,0,,,0.956,1
car1_Standard_toM_061500,06:15:00,06:15:30,1,1,Manhattan,0,0,,,0,1
car1_Standard_toM_061500,06:22:30,06:23:00,2,2,,0,0,,,0.956,1
car1_Standard_toM_063000,06:30:00,06:30:30,1,1,Manhattan,0,0,,,0,1
car1_Standard_toM_063000,06:37:30,06:38:00,2,2,,0,0,,,0.956,1
car1_Standard_toM_064500,06:45:00,06:45:30,1,1,Manhattan,0,0,,,0,1
car1_Standard_toM_064500,06:52:30,06:53:00,2,2,,0,0,,,0.956,1
car1_Standard_toM_070000,07:00:00,07:00:30,1,1,Manhattan,0,0,,,0,1
car1_Standard_toM_070000,07:07:30,07:08:00,2,2,,0,0,,,0.956,1
car1_Standard_toM_071500,07:15:00,07:15:30,1,1,Manhattan,0,0,,,0,1
car1_Standard_toM_071500,07:22:30,07:23:00,2,2,,0,0,,,0.956,1
car1_Standard_toM_073000,07:30:00,07:30:30,1,1,Manhattan,0,0,,,0,1
car1_Standard_toM_073000,07:37:30,07:38:00,2,2,,0,0,,,0.956,1
car1_Standard_toM_074500,07:45:00,07:45:30,1,1,Manhattan,0,0,,,0,1
car1_Standard_toM_074500,07:52:30,07:53:00,2,2,,0,0,,,0.956,1
car1_Standard_toM_080000,08:00:00,08:00:30,1,1,Manhattan,0,0,,,0,1
car1_Standard_toM_080000,08:07:30,08:08:00,2,2,,0,0,,,0.956,1
